パス,名前,種類,アクセス許可,継承,適用先
"C:\Windows","BUILTIN\Users","読み取りと実行","許可","False","サブフォルダ、 ファイル"
"C:\Windows","BUILTIN\Users","読み取りと実行","許可","False","このフォルダ、"
"C:\Windows","NT SERVICE\TrustedInstaller","フル コントロール","許可","False","サブフォルダ"
"C:\Windows","NT SERVICE\TrustedInstaller","フル コントロール","許可","False","このフォルダ、"
"C:\Windows","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","読み取りと実行","許可","False","このフォルダ、"
"C:\Windows","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","読み取りと実行","許可","False","サブフォルダ、 ファイル"
"C:\Windows","APPLICATION PACKAGE AUTHORITY\制限されたすべてのアプリケーション パッケージ","読み取りと実行","許可","False","このフォルダ、"
"C:\Windows","APPLICATION PACKAGE AUTHORITY\制限されたすべてのアプリケーション パッケージ","読み取りと実行","許可","False","サブフォルダ、 ファイル"
"D:\share","NT AUTHORITY\SYSTEM","フル コントロール","許可","False","このフォルダ、サブフォルダ、 ファイル"
"D:\share","BUILTIN\Administrators","フル コントロール","許可","False","このフォルダ、サブフォルダ、 ファイル"
"D:\work","BUILTIN\Administrators","フル コントロール","許可","False","このフォルダ、"
"D:\work","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、サブフォルダ、 ファイル"
"D:\work","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、サブフォルダ、 ファイル"
"D:\work","CREATOR OWNER","フル コントロール","許可","True","サブフォルダ、 ファイル"
"D:\work","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、サブフォルダ、 ファイル"
"D:\work","BUILTIN\Users","AppendData","許可","True","このフォルダ、サブフォルダ"
"D:\work","BUILTIN\Users","CreateFiles","許可","True","このフォルダ、サブフォルダ"
"E:\backup","Everyone","フル コントロール","許可","True","このフォルダ、サブフォルダ、 ファイル"
"H:\00_CALL","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\00_CALL","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\00_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\00_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\00_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\00_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\00_CALL","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\00_CALL","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\00_imgae","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\00_imgae","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\00_imgae","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\00_imgae","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\00_imgae","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\00_imgae","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\00_imgae","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\00_imgae","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\00_Private","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\00_Private","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\00_Private","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\00_Private","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\00_Private","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\00_Private","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\00_Private","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\00_Private","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\00_Tools","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\00_Tools","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\00_Tools","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\00_Tools","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\00_Tools","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\00_Tools","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\00_Tools","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\00_Tools","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\20210820","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\20210820","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\20210820","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\20210820","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\20210820","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\20210820","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\20210820","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\20210820","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\2021_atomi","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\2021_atomi","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2021_atomi","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\2021_atomi","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2021_atomi","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\2021_atomi","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\2021_atomi","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\2021_atomi","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\2021_CALL","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\2021_CALL","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2021_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\2021_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2021_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\2021_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\2021_CALL","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\2021_CALL","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\2022_CALL","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\2022_CALL","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2022_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\2022_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2022_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\2022_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\2022_CALL","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\2022_CALL","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\20231018","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\20231018","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\20231018","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
