パス,名前,種類,アクセス許可,継承,適用先
"H:\ジブリ","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\ジブリ","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\ジブリ","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\ジブリ","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\チェックシート","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\チェックシート","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\チェックシート","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\チェックシート","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\チェックシート","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\チェックシート","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\チェックシート","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\チェックシート","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
