名前,フルネーム,説明,オプション
Administrator,,コンピューター/ドメインの管理用 (ビルトイン アカウント),パスワードを無期限にする
DefaultAccount,,システムで管理されるユーザー アカウントです。,パスワードを無期限にする/アカウントを無効にする
Guest,,コンピューター/ドメインへのゲスト アクセス用 (ビルトイン アカウント),ユーザーはパスワードを変更できない/パスワードを無期限にする/アカウントを無効にする
WDAGUtilityAccount,,Windows Defender Application Guard シナリオでシステムによって管理および使用されるユーザー アカウント,アカウントを無効にする
