call.local,Builtin,Terminal Server License Servers,ドメインローカル,セキュリティ,このグループのメンバーは、TS 接続ユーザー数 CAL の使用状況を追跡および報告することを目的として、Active Directory 内のユーザー アカウントをライセンス発行に関する情報で更新できます。
call.local,Users,Allowed RODC Password Replication Group,ドメインローカル,セキュリティ,このグループのメンバーは、ドメインのすべての読み取り専用ドメイン コントローラーにパスワードをレプリケートできます。
call.local,Users,Denied RODC Password Replication Group,ドメインローカル,セキュリティ,このグループのメンバーは、ドメインのどの読み取り専用ドメイン コントローラーにもパスワードをレプリケートできません。
call.local,Users,Read-only Domain Controllers,グローバル,セキュリティ,このグループのメンバーは、ドメインの読み取り専用ドメイン コントローラーです。
call.local,Users,Enterprise Read-only Domain Controllers,ユニバーサル,セキュリティ,このグループのメンバーは、エンタープライズの読み取り専用ドメイン コントローラーです。
call.local,Users,Cloneable Domain Controllers,グローバル,セキュリティ,このグループの、ドメイン コントローラーであるメンバーは、複製されます。
call.local,Users,Protected Users,グローバル,セキュリティ,このグループのメンバーには、認証セキュリティの脅威に対する追加の保護が提供されます。詳細については、http://go.microsoft.com/fwlink/?LinkId=298939 を参照してください。
call.local,Users,Key Admins,グローバル,セキュリティ,このグループのメンバーは、ドメイン内のキー オブジェクトに対する管理操作を実行できます。
call.local,Users,Enterprise Key Admins,ユニバーサル,セキュリティ,このグループのメンバーは、フォレスト内のキー オブジェクトに対する管理操作を実行できます。
call.local,Users,DnsAdmins,ドメインローカル,セキュリティ,DNS 管理者グループ
call.local,Users,DnsUpdateProxy,グローバル,セキュリティ,DHCP サーバーなどのほかのクライアントに代わって動的な更新を行うことを許可されている DNS クライアントです。
call.local,Users,SQLServer2005SQLBrowserUser$SERVER,ドメインローカル,セキュリティ,グループ内のメンバーには、SQL Server Browser の関連付けられたインスタンスのログオン アカウントに必要なアクセス権と特権が割り当てられています。
call.local,Teachers,Sensei,グローバル,セキュリティ,
call.local,Students,Seito,グローバル,セキュリティ,
