名前,グループ,プロファイル,有効,規則,操作,プログラム,ローカルIP,リモートIP,ローカルアドレス,リモートアドレス,プロトコル,ローカルポート,リモートポート
Microsoft Teams,{78E1CD88-49E3-476E-B926-580E596AD309},"すべて",有効,受信,許可,C:\Program Files\WindowsApps\MSTeams_26032.208.4399.5_x64__8wekyb3d8bbwe\ms-teams.exe,任意,任意,任意,任意,TCP,任意,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"プライベート",有効,受信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,任意,任意,任意,任意,UDP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"プライベート",有効,受信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,任意,任意,任意,任意,TCP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"パブリック",有効,受信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,任意,任意,任意,任意,UDP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"パブリック",有効,受信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,任意,任意,任意,任意,UDP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"パブリック",有効,受信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,任意,任意,任意,任意,TCP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"プライベート",有効,受信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,任意,任意,任意,任意,UDP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"プライベート",有効,受信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,任意,任意,任意,任意,TCP,7000,任意
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},"パブリック",有効,受信,許可,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,任意,任意,任意,任意,TCP,7000,任意
AllJoyn ルーター (TCP 受信),AllJoyn ルーター,"ドメイン, プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,9955,任意
AllJoyn ルーター (UDP 受信),AllJoyn ルーター,"ドメイン, プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,任意
App Installer,App Installer,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
BranchCache コンテンツ取得 (HTTP-受信),BranchCache - コンテンツ取得 (HTTP を使用),"すべて",無効,受信,許可,SYSTEM,任意,任意,任意,任意,TCP,80,任意
BranchCache ピア検出 (WSD-受信),BranchCache - ピア検出 (WSD を使用),"すべて",無効,受信,許可,%systemroot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,3702,任意
BranchCache ホスト型キャッシュ サーバー (HTTP-受信),BranchCache - ホスト型キャッシュ サーバー (HTTPS を使用),"すべて",無効,受信,許可,SYSTEM,任意,任意,任意,任意,TCP,80 443,任意
Connected Devices Platform - Wi-Fi Direct トランスポート (TCP 受信),Connected Devices Platform,"パブリック",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
Connected Devices Platform (TCP 受信),Connected Devices Platform,"ドメイン, プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
Connected Devices Platform (UDP 受信),Connected Devices Platform,"ドメイン, プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,任意
Delivery Optimization (TCP-In),Delivery Optimization,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,7680,任意
Delivery Optimization (UDP-In),Delivery Optimization,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,7680,任意
DIAL プロトコル サーバー (HTTP 受信),DIAL プロトコル サーバー,"プライベート",有効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,10247,任意
DIAL プロトコル サーバー (HTTP 受信),DIAL プロトコル サーバー,"ドメイン",有効,受信,許可,System,任意,任意,任意,任意,TCP,10247,任意
Google Chrome（mDNS インバウンド）,Google Chrome,"すべて",有効,受信,許可,C:\Program Files\Google\Chrome\Application\chrome.exe,任意,任意,任意,任意,UDP,5353,任意
iSCSI サービス (TCP 受信),iSCSI サービス,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
iSCSI サービス (TCP 受信),iSCSI サービス,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
mDNS (UDP 受信),mDNS,"ドメイン",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,5353,任意
mDNS (UDP 受信),mDNS,"プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,5353,任意
mDNS (UDP 受信),mDNS,"パブリック",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,5353,任意
Media Center Extender - HTTP ストリーミング (TCP-In),Media Center Extender,"すべて",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,10244,任意
Media Center Extender - qWave (TCP 受信),Media Center Extender,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,2177,任意
Media Center Extender - qWave (UDP 受信),Media Center Extender,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,2177,任意
Media Center Extender - RTSP (TCP 受信),Media Center Extender,"すべて",無効,受信,許可,%SystemRoot%\ehome\ehshell.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,554 8554 8555 8556 8557 8558,任意
Media Center Extender - SSDP (UDP 受信),Media Center Extender,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
Media Center Extender - WMDRM-ND/RTP/RTCP (UDP 受信),Media Center Extender,"すべて",無効,受信,許可,%SystemRoot%\ehome\ehshell.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,7777 7778 7779 7780 7781 5004 5005 50004 50005 50006 50007 50008 50009 50010 50011 50012 50013,任意
Media Center Extender - XSP (TCP 受信),Media Center Extender,"すべて",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,3390,任意
Media Center Extenders - Media ストリーミング (TCP-In),Media Center Extender,"すべて",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,2869,任意
Microsoft Edge (mDNS-In),Microsoft Edge,"すべて",有効,受信,許可,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,任意,任意,任意,任意,UDP,5353,任意
Microsoft Edge (mDNS-In),Microsoft Edge WebView2 Runtime,"すべて",有効,受信,許可,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.86\msedgewebview2.exe,任意,任意,任意,任意,UDP,5353,任意
Microsoft Edge (mDNS-In),Microsoft Edge WebView2 Runtime,"すべて",有効,受信,許可,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe,任意,任意,任意,任意,UDP,5353,任意
Microsoft Teams,Microsoft Teams,"ドメイン, プライベート, パブリック",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft To Do,Microsoft To Do,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft メディア ファンデーション ネットワーク ソース受信 [TCP 554],Microsoft メディア ファンデーション ネットワーク ソース,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,554 8554-8558,任意
Microsoft メディア ファンデーション ネットワーク ソース受信 [UDP 5004-5009],Microsoft メディア ファンデーション ネットワーク ソース,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,5000-5020,任意
Netlogon サービス (NP 受信),Netlogon サービス,"すべて",無効,受信,許可,System,任意,任意,任意,任意,TCP,445,任意
Netlogon サービス Authz (RPC),Netlogon サービス,"すべて",無効,受信,許可,%SystemRoot%\System32\lsass.exe,任意,任意,任意,任意,TCP,RPC,任意
Secure Socket トンネリング プロトコル (SSTP 受信),Secure Socket トンネリング プロトコル,"すべて",無効,受信,許可,System,任意,任意,任意,任意,TCP,443,任意
SMBDirect でのファイルとプリンターの共有 (iWARP 受信),SMBDirect でのファイルとプリンターの共有,"すべて",無効,受信,許可,System,任意,任意,任意,任意,TCP,5445,任意
SNMP トラップ サービス (UDP 受信),SNMP トラップ,"ドメイン",無効,受信,許可,%SystemRoot%\system32\snmptrap.exe,任意,任意,任意,任意,UDP,162,任意
SNMP トラップ サービス (UDP 受信),SNMP トラップ,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\snmptrap.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,162,任意
TPM 仮想スマートカード管理 (DCOM 受信),TPM 仮想スマートカード管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,135,任意
TPM 仮想スマートカード管理 (DCOM 受信),TPM 仮想スマートカード管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,135,任意
TPM 仮想スマートカード管理 (TCP 受信),TPM 仮想スマートカード管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\RmtTpmVscMgrSvr.exe,任意,任意,任意,任意,TCP,任意,任意
TPM 仮想スマートカード管理 (TCP 受信),TPM 仮想スマートカード管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\RmtTpmVscMgrSvr.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Wi-Fi Direct スキャン サービスの使用 (受信),Wi-Fi Direct ネットワーク探索,"パブリック",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,任意,任意,任意
Wi-Fi Direct スプーラーの使用 (受信),Wi-Fi Direct ネットワーク探索,"パブリック",有効,受信,許可,%SystemRoot%\system32\spoolsv.exe,任意,任意,任意,任意,任意,任意,任意
Wi-Fi Direct ネットワーク探索 (受信),Wi-Fi Direct ネットワーク探索,"パブリック",有効,受信,許可,%SystemRoot%\system32\dashost.exe,任意,任意,任意,任意,任意,任意,任意
Windows Defender ファイアウォール リモート管理 (RPC),Windows Defender ファイアウォール リモート管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPC,任意
Windows Defender ファイアウォール リモート管理 (RPC),Windows Defender ファイアウォール リモート管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
Windows Defender ファイアウォール リモート管理 (RPC-EPMAP),Windows Defender ファイアウォール リモート管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPCEPMap,任意
Windows Defender ファイアウォール リモート管理 (RPC-EPMAP),Windows Defender ファイアウォール リモート管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
Windows Management Instrumentation (DCOM 受信),Windows Management Instrumentation (WMI),"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,135,任意
Windows Management Instrumentation (DCOM 受信),Windows Management Instrumentation (WMI),"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,135,任意
Windows Management Instrumentation (WMI 受信),Windows Management Instrumentation (WMI),"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
Windows Management Instrumentation (WMI 受信),Windows Management Instrumentation (WMI),"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Windows Management Instrumentation (非同期受信),Windows Management Instrumentation (WMI),"プライベート, パブリック",無効,受信,許可,%systemroot%\system32\wbem\unsecapp.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Windows Management Instrumentation (非同期受信),Windows Management Instrumentation (WMI),"ドメイン",無効,受信,許可,%systemroot%\system32\wbem\unsecapp.exe,任意,任意,任意,任意,TCP,任意,任意
